timestamp_utc,pool,chain,project,symbol,tvl_usd,apy,apy_base,apy_reward,score,candidate
2026-09-05T23:56:24+00:00,aa70268e-4b52-42bf-a116-608b370f9501,Ethereum,aave-v3,USDC,151177905.0,3.59494,3.59494,0.0,56.83,NO
2026-09-05T23:56:24+00:00,df7ccfd1-2642-4d79-851a-a5b07d9b8a97,Base,morpho-blue,GTUSDCP,96569911.0,4.23731,4.23731,0.0,56.28,NO
2026-09-05T23:56:24+00:00,81ae8812-f04f-4f6e-9d71-ee5778f3a178,Base,morpho-blue,STEAKUSDC,136055602.0,3.16031,3.16031,0.0,56.07,NO
2026-09-05T23:56:24+00:00,931ea9be-5f4d-428e-beaf-205fc5b4e2b5,Ethereum,morpho-blue,STEAKUSDC,94586212.0,4.20089,4.20089,0.0,55.79,NO
2026-09-05T23:56:24+00:00,d3b28212-a46b-4db8-8bb7-2c946b3cbe76,Ethereum,morpho-blue,STEAKEURCV,139153849.0,3.0,3.0,0.0,55.65,NO
2026-09-05T23:56:24+00:00,488f06db-5a36-450e-9ba9-b4321be39c7c,Ethereum,fluid-lite,USDC,46043056.0,6.51,0.0,0.0,55.44,NO
2026-09-05T23:56:24+00:00,71b34441-5a46-431b-a9b3-8c081cd0d74c,Ethereum,morpho-blue,GTUSDCP,87960706.0,4.2047,4.2047,0.0,55.36,NO
2026-09-05T23:56:24+00:00,0ed981dc-b49d-426d-ade5-6014728b1ef9,Ethereum,sparklend,USDS,242496423.0,2.3184,2.3184,0.0,55.34,NO
2026-09-05T23:56:24+00:00,c8a24fee-ec00-4f38-86c0-9f6daebc4225,Ethereum,sky-lending,SDAI,204257440.0,1.25,1.25,0.0,55.07,NO
2026-09-05T23:56:24+00:00,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,Ethereum,aave-v3,USDT,174922395.0,3.76592,3.76592,0.0,54.66,NO
2026-09-05T23:56:24+00:00,2d3b68a8-33d3-47e0-a4c0-0bafef4b01d5,Base,morpho-blue,USDE,341820960.0,4.75,0.0,4.75,54.18,NO
2026-09-05T23:56:24+00:00,b55f43a8-f444-4cd8-a3a4-0a4e786ba566,Ethereum,morpho-blue,STEAKUSDC,68860933.0,3.98984,3.98984,0.0,53.77,NO
2026-09-05T23:56:24+00:00,d73fcfed-a2ca-5314-a94b-a841982df77f,Ethereum,morpho-blue,PENDLEUSDC,58310004.0,6.16224,4.84844,1.3138,53.32,NO
2026-09-06T06:53:05+00:00,d8c4eff5-c8a9-46fc-a888-057c4c668e72,Ethereum,sky-lending,SUSDS,4662405629.0,3.6,3.6,0.0,77.56,YES
2026-09-06T06:53:05+00:00,ba68527f-8ec2-4c55-827a-8f4673ae047c,Base,morpho-blue,STEAKUSDC,427274445.0,4.2329,4.2329,0.0,64.9,NO
2026-09-06T06:53:05+00:00,e0672197-9f3e-4414-bca5-e6b4c90aa469,Base,morpho-blue,GTUSDCP,418553487.0,4.23294,4.23294,0.0,64.84,NO
2026-09-06T06:53:05+00:00,699f25fe-09f4-4f82-8f58-baa5b0af8fa4,Ethereum,morpho-blue,SENPYUSDMAIN,386366544.0,6.08601,3.14977,2.93624,62.96,NO
