timestamp_utc,buy_dex,sell_dex,start_usdc,sol_bought,final_usdc,gross_profit_usdc,gross_bps,execution_buffer_bps,stressed_bps,candidate,buy_price_impact_pct,sell_price_impact_pct,buy_latency_ms,sell_latency_ms,buy_route,sell_route
2026-09-06T15:17:26+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.946203595,99.928860,-0.071140,-7.114,20.000,-27.114,NO,0.051358,0.022111,117.9,117.4,Meteora DLMM,Raydium CLMM
2026-09-06T15:22:34+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.943852394,99.950993,-0.049007,-4.901,20.000,-24.901,NO,0.040714,0.027517,89.0,37.0,Raydium CLMM,Meteora DLMM
2026-09-06T15:22:44+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.944296108,99.965805,-0.034195,-3.419,20.000,-23.419,NO,0.000000,0.007017,40.6,90.2,Meteora DLMM,Raydium CLMM
2026-09-06T15:30:37+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.944266161,99.932962,-0.067038,-6.704,20.000,-26.704,NO,0.032509,0.013377,106.0,104.7,Raydium CLMM,Meteora DLMM
2026-09-06T15:30:46+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.944671370,99.967888,-0.032112,-3.211,20.000,-23.211,NO,0.009982,0.023590,42.2,99.3,Meteora DLMM,Raydium CLMM
2026-09-06T17:08:44+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.945926014,99.947034,-0.052966,-5.297,20.000,-25.297,NO,0.049483,0.002253,128.0,100.0,Raydium CLMM,Meteora DLMM
2026-09-06T17:08:54+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.945842868,99.938423,-0.061577,-6.158,20.000,-26.158,NO,0.051351,0.011825,97.7,101.4,Meteora DLMM,Raydium CLMM
2026-09-06T18:05:37+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.940688522,99.974522,-0.025478,-2.548,20.000,-22.548,NO,0.013967,0.019378,112.6,90.0,Raydium CLMM,Meteora DLMM
2026-09-06T18:05:46+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.940723568,99.962833,-0.037167,-3.717,20.000,-23.717,NO,0.010953,0.026182,93.2,44.9,Meteora DLMM,Raydium CLMM
2026-09-06T18:23:01+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.940288622,99.952416,-0.047584,-4.758,20.000,-24.758,NO,0.043834,0.000628,157.7,21.8,Raydium CLMM,Meteora DLMM
