timestamp_utc,symbol,direction,spread_bps_per_8h,aligned_basis_bps,adverse_basis_bps,periods_to_overcome_adverse_basis,candidate
2026-09-06T18:05:51+00:00,PUMPUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:05:51+00:00,LINKUSDT,short Bitget / long Gate,0.070000,-2.437439,2.437439,34.820558,NO
2026-09-06T18:05:51+00:00,LTCUSDT,short Bitget / long Gate,0.480000,-1.846381,1.846381,3.846627,NO
2026-09-06T18:05:51+00:00,RAYUSDT,long Bitget / short Gate,-0.840000,9.551098,0.000000,0.000000,NO
2026-09-06T18:05:51+00:00,SPCXUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:05:51+00:00,ONDOUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:05:51+00:00,FILUSDT,short Bitget / long Gate,0.740000,-5.041593,5.041593,6.812964,NO
2026-09-06T18:05:51+00:00,CLUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:05:51+00:00,ASTERUSDT,short Bitget / long Gate,0.540000,1.313715,0.000000,0.000000,NO
2026-09-06T18:05:51+00:00,SKHYNIXUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,ETHUSDT,short Bitget / long Gate,0.280000,0.320823,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,BTCUSDT,short Bitget / long Gate,0.400000,0.247929,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,ZECUSDT,long Bitget / short Gate,-1.530000,-0.407432,0.407432,0.266295,NO
2026-09-06T18:23:15+00:00,SOLUSDT,short Bitget / long Gate,0.410000,-1.882176,1.882176,4.590673,NO
2026-09-06T18:23:15+00:00,DOGEUSDT,long Bitget / short Gate,-0.100000,1.120699,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,XRPUSDT,short Bitget / long Gate,0.410000,0.707965,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,ARBUSDT,short Bitget / long Gate,1.540000,2.166143,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,HYPEUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,UNIUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,PONSUSDT,long Bitget / short Gate,-25.460000,-9.349289,9.349289,0.367215,YES
2026-09-06T18:23:15+00:00,MARSCOINUSDT,short Bitget / long Gate,1.200000,24.410090,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,ADAUSDT,long Bitget / short Gate,-0.640000,4.564126,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,ENAUSDT,short Bitget / long Gate,1.600000,2.297266,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,USELESSUSDT,short Bitget / long Gate,8.980000,7.166853,0.000000,0.000000,YES
2026-09-06T18:23:15+00:00,SNDKUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,TRUMPUSDT,short Bitget / long Gate,6.860000,8.650519,0.000000,0.000000,YES
2026-09-06T18:23:15+00:00,BNBUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,UAIUSDT,long Bitget / short Gate,-8.230000,3.337728,0.000000,0.000000,YES
2026-09-06T18:23:15+00:00,MUUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,SUIUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,DASHUSDT,short Bitget / long Gate,0.710000,1.416230,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,XAUUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,TAOUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,NEARUSDT,short Bitget / long Gate,1.750000,-4.622626,4.622626,2.641500,NO
2026-09-06T18:23:15+00:00,FLOCKUSDT,short Bitget / long Gate,4.450000,-1.365934,1.365934,0.306951,YES
2026-09-06T18:23:15+00:00,SOXLUSDT,long Bitget / short Gate,-7.730000,3.233368,0.000000,0.000000,YES
2026-09-06T18:23:15+00:00,AKEUSDT,short Bitget / long Gate,10.660000,-5.309318,5.309318,0.498060,YES
2026-09-06T18:23:15+00:00,PEPEUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,WLDUSDT,short Bitget / long Gate,1.310000,9.725261,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,PUMPUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,LINKUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,LTCUSDT,short Bitget / long Gate,0.460000,0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,RAYUSDT,long Bitget / short Gate,-2.080000,9.473838,0.000000,0.000000,YES
2026-09-06T18:23:15+00:00,SPCXUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,ONDOUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,FILUSDT,short Bitget / long Gate,0.330000,-6.301197,6.301197,19.094537,NO
2026-09-06T18:23:15+00:00,CLUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,ASTERUSDT,short Bitget / long Gate,0.440000,2.616431,0.000000,0.000000,NO
2026-09-06T18:23:15+00:00,SKHYNIXUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,ETHUSDT,short Bitget / long Gate,0.250000,0.601861,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,BTCUSDT,short Bitget / long Gate,0.430000,0.726030,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,ZECUSDT,long Bitget / short Gate,-1.480000,-0.652821,0.652821,0.441096,NO
2026-09-06T18:56:21+00:00,SOLUSDT,short Bitget / long Gate,0.540000,-0.283473,0.283473,0.524951,NO
2026-09-06T18:56:21+00:00,DOGEUSDT,short Bitget / long Gate,0.010000,-3.357958,3.357958,335.795836,NO
2026-09-06T18:56:21+00:00,XRPUSDT,short Bitget / long Gate,0.390000,0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,ARBUSDT,short Bitget / long Gate,1.750000,2.157963,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,HYPEUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,UNIUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,PONSUSDT,long Bitget / short Gate,-25.920000,-14.392060,14.392060,0.555249,YES
2026-09-06T18:56:21+00:00,MARSCOINUSDT,long Bitget / short Gate,-1.160000,-20.386798,20.386798,17.574826,NO
2026-09-06T18:56:21+00:00,ADAUSDT,long Bitget / short Gate,-0.700000,-4.559964,4.559964,6.514234,NO
2026-09-06T18:56:21+00:00,ENAUSDT,short Bitget / long Gate,1.520000,1.714286,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,USELESSUSDT,short Bitget / long Gate,10.280000,4.941599,0.000000,0.000000,YES
2026-09-06T18:56:21+00:00,SNDKUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,TRUMPUSDT,short Bitget / long Gate,6.940000,4.344049,0.000000,0.000000,YES
2026-09-06T18:56:21+00:00,UAIUSDT,long Bitget / short Gate,-5.050000,8.462671,0.000000,0.000000,YES
2026-09-06T18:56:21+00:00,MUUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,BNBUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,SUIUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,DASHUSDT,short Bitget / long Gate,0.750000,2.822467,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,XAUUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,TAOUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,NEARUSDT,short Bitget / long Gate,1.120000,-4.974299,4.974299,4.441339,NO
2026-09-06T18:56:21+00:00,FLOCKUSDT,short Bitget / long Gate,1.690000,-2.744614,2.744614,1.624032,NO
2026-09-06T18:56:21+00:00,SOXLUSDT,long Bitget / short Gate,-5.970000,3.223986,0.000000,0.000000,YES
2026-09-06T18:56:21+00:00,AKEUSDT,short Bitget / long Gate,14.500000,-4.041127,4.041127,0.278698,YES
2026-09-06T18:56:21+00:00,PEPEUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,PUMPUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,WLDUSDT,short Bitget / long Gate,1.610000,4.844961,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,LINKUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,LTCUSDT,short Bitget / long Gate,0.850000,-1.845018,1.845018,2.170610,NO
2026-09-06T18:56:21+00:00,RAYUSDT,long Bitget / short Gate,-1.420000,-5.030543,5.030543,3.542636,NO
2026-09-06T18:56:21+00:00,SPCXUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,ONDOUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,FILUSDT,long Bitget / short Gate,-0.270000,6.301991,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,ASTERUSDT,short Bitget / long Gate,0.700000,10.409889,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,CLUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T18:56:21+00:00,SKHYNIXUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,ETHUSDT,short Bitget / long Gate,0.250000,0.040149,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,BTCUSDT,short Bitget / long Gate,0.510000,0.215455,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,ZECUSDT,long Bitget / short Gate,-1.510000,0.408664,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,SOLUSDT,short Bitget / long Gate,0.520000,-0.661563,0.661563,1.272237,NO
2026-09-06T19:08:48+00:00,DOGEUSDT,long Bitget / short Gate,-0.050000,2.238388,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,XRPUSDT,short Bitget / long Gate,0.420000,-0.708667,0.708667,1.687302,NO
2026-09-06T19:08:48+00:00,ARBUSDT,short Bitget / long Gate,1.220000,2.740477,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,HYPEUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,UNIUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,PONSUSDT,long Bitget / short Gate,-26.600000,-16.397547,16.397547,0.616449,YES
2026-09-06T19:08:48+00:00,ADAUSDT,long Bitget / short Gate,-0.590000,-4.562044,4.562044,7.732278,NO
2026-09-06T19:08:48+00:00,MARSCOINUSDT,long Bitget / short Gate,-2.860000,-19.133002,19.133002,6.689861,YES
2026-09-06T19:08:48+00:00,ENAUSDT,short Bitget / long Gate,1.500000,0.570516,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,USELESSUSDT,short Bitget / long Gate,10.320000,7.629134,0.000000,0.000000,YES
2026-09-06T19:08:48+00:00,SNDKUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,TRUMPUSDT,short Bitget / long Gate,6.880000,8.699435,0.000000,0.000000,YES
2026-09-06T19:08:48+00:00,MUUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,UAIUSDT,long Bitget / short Gate,-4.680000,14.615217,0.000000,0.000000,YES
2026-09-06T19:08:48+00:00,BNBUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,SUIUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,DASHUSDT,short Bitget / long Gate,0.830000,-5.706948,5.706948,6.875841,NO
2026-09-06T19:08:48+00:00,XAUUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,TAOUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,NEARUSDT,short Bitget / long Gate,0.880000,-2.488078,2.488078,2.827361,NO
2026-09-06T19:08:48+00:00,SOXLUSDT,long Bitget / short Gate,-5.290000,2.410413,0.000000,0.000000,YES
2026-09-06T19:08:48+00:00,FLOCKUSDT,short Bitget / long Gate,1.570000,15.187077,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,AKEUSDT,short Bitget / long Gate,14.420000,-8.522164,8.522164,0.590996,YES
2026-09-06T19:08:48+00:00,PEPEUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,WLDUSDT,short Bitget / long Gate,1.900000,7.270965,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,PUMPUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,LINKUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,RAYUSDT,long Bitget / short Gate,-1.660000,13.669065,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,LTCUSDT,short Bitget / long Gate,0.960000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,SPCXUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,ONDOUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,FILUSDT,long Bitget / short Gate,-0.440000,6.308352,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,CLUSDT,flat,0.000000,-0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,ASTERUSDT,short Bitget / long Gate,1.080000,0.000000,0.000000,0.000000,NO
2026-09-06T19:08:48+00:00,SKHYNIXUSDT,flat,0.000000,0.000000,0.000000,0.000000,NO
2026-09-06T20:25:45+00:00,ETHUSDT,short Bitget / long Gate,0.070000,0.641365,0.000000,0.000000,NO
2026-09-06T20:25:45+00:00,BTCUSDT,short Bitget / long Gate,0.460000,1.139049,0.000000,0.000000,NO
2026-09-06T20:25:45+00:00,ZECUSDT,long Bitget / short Gate,-1.370000,0.082165,0.000000,0.000000,NO
2026-09-06T20:25:45+00:00,SOLUSDT,short Bitget / long Gate,0.090000,-1.420320,1.420320,15.781334,NO
2026-09-06T20:25:45+00:00,DOGEUSDT,long Bitget / short Gate,-0.210000,3.334815,0.000000,0.000000,NO
