timestamp_utc,symbol,direction,binance_rate,binance_interval_hours,bybit_rate,bybit_interval_hours,spread_bps_per_hour,spread_bps_per_8h,rough_annualized_pct,breakeven_8h_periods,candidate
2026-09-06T18:05:51+00:00,DOGEUSDT,short Bitget / long Gate,0.0000830000,8.0000,0.0000790000,8.0000,0.005000,0.040000,0.4380,750.000,NO
2026-09-06T18:05:51+00:00,XRPUSDT,short Bitget / long Gate,0.0001000000,8.0000,0.0000570000,8.0000,0.053750,0.430000,4.7085,69.767,NO
2026-09-06T18:05:51+00:00,ARBUSDT,short Bitget / long Gate,0.0001000000,8.0000,-0.0000640000,8.0000,0.205000,1.640000,17.9580,18.293,NO
2026-09-06T18:05:51+00:00,HYPEUSDT,flat,0.0000500000,4.0000,0.0000500000,4.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:05:51+00:00,UNIUSDT,flat,0.0001000000,8.0000,0.0001000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:05:51+00:00,PONSUSDT,long Bitget / short Gate,0.0006340000,4.0000,0.0019530000,4.0000,-3.297500,-26.380000,288.8610,1.137,YES
2026-09-06T18:05:51+00:00,MARSCOINUSDT,long Bitget / short Gate,0.0001240000,4.0000,0.0001480000,4.0000,-0.060000,-0.480000,5.2560,62.500,NO
2026-09-06T18:05:51+00:00,ADAUSDT,long Bitget / short Gate,0.0000350000,8.0000,0.0001000000,8.0000,-0.081250,-0.650000,7.1175,46.154,NO
2026-09-06T18:05:51+00:00,ENAUSDT,short Bitget / long Gate,0.0000500000,4.0000,-0.0000370000,4.0000,0.217500,1.740000,19.0530,17.241,NO
2026-09-06T18:05:51+00:00,USELESSUSDT,short Bitget / long Gate,0.0005250000,4.0000,0.0000500000,4.0000,1.187500,9.500000,104.0250,3.158,YES
2026-09-06T18:05:51+00:00,SNDKUSDT,flat,0.0000000000,8.0000,0.0000000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:05:51+00:00,TRUMPUSDT,short Bitget / long Gate,0.0000500000,4.0000,-0.0003140000,4.0000,0.910000,7.280000,79.7160,4.121,YES
2026-09-06T18:05:51+00:00,BNBUSDT,flat,0.0001000000,8.0000,0.0001000000,8.0000,0.000000,0.000000,0.0000,,NO
